Packet Loss,delay,RTT Loss,bufferKB,bufferMS,Message size,Batch size,message timeout,acks,retry times,retry backoff,Number of Received messages,Number of nonidentical messages,Number of lost messages,Percentage of lost messages,Number of redundant messages,Percentage of redundant messages,Number of duplicated messages,Percentage of duplicated messages
16.50%,30,0.302775,1048576,0.5,100,7,5000,0,0,100,286357,286357,713643,0.713643,0,0.00%,0,0.00%
17.00%,30,0.3111,1048576,0.5,100,7,5000,0,0,100,287418,287418,712582,0.712582,0,0.00%,0,0.00%
17.50%,30,0.319375,1048576,0.5,100,7,5000,0,0,100,243985,243985,756015,0.756015,0,0.00%,0,0.00%
18.00%,30,0.3276,1048576,0.5,100,7,5000,0,0,100,239302,239302,760698,0.760698,0,0.00%,0,0.00%
18.50%,30,0.335775,1048576,0.5,100,7,5000,0,0,100,214608,214608,785392,0.785392,0,0.00%,0,0.00%
19.00%,30,0.3439,1048576,0.5,100,7,5000,0,0,100,208259,208259,791741,0.791741,0,0.00%,0,0.00%
19.50%,30,0.351975,1048576,0.5,100,7,5000,0,0,100,197935,197935,802065,0.802065,0,0.00%,0,0.00%
20.00%,30,0.36,1048576,0.5,100,7,5000,0,0,100,168252,168252,831748,0.831748,0,0.00%,0,0.00%
20.50%,30,0.367975,1048576,0.5,100,7,5000,0,0,100,172475,172475,827525,0.827525,0,0.00%,0,0.00%
21.00%,30,0.3759,1048576,0.5,100,7,5000,0,0,100,165949,165949,834051,0.834051,0,0.00%,0,0.00%
21.50%,30,0.383775,1048576,0.5,100,7,5000,0,0,100,156828,156828,843172,0.843172,0,0.00%,0,0.00%
22.00%,30,0.3916,1048576,0.5,100,7,5000,0,0,100,153300,153300,846700,0.8467,0,0.00%,0,0.00%
22.50%,30,0.399375,1048576,0.5,100,7,5000,0,0,100,145739,145739,854261,0.854261,0,0.00%,0,0.00%
23.00%,30,0.4071,1048576,0.5,100,7,5000,0,0,100,141554,141554,858446,0.858446,0,0.00%,0,0.00%
23.50%,30,0.414775,1048576,0.5,100,7,5000,0,0,100,132614,132614,867386,0.867386,0,0.00%,0,0.00%
24.00%,30,0.4224,1048576,0.5,100,7,5000,0,0,100,113535,113535,886465,0.886465,0,0.00%,0,0.00%
24.50%,30,0.429975,1048576,0.5,100,7,5000,0,0,100,115385,115385,884615,0.884615,0,0.00%,0,0.00%
25.00%,30,0.4375,1048576,0.5,100,7,5000,0,0,100,110445,110445,889555,0.889555,0,0.00%,0,0.00%
0.50%,30,0.009975,1048576,0.5,100,8,5000,0,0,100,1000000,1000000,0,0,0,0.00%,0,0.00%
1.00%,30,0.0199,1048576,0.5,100,8,5000,0,0,100,1000000,1000000,0,0,0,0.00%,0,0.00%
1.50%,30,0.029775,1048576,0.5,100,8,5000,0,0,100,1000000,1000000,0,0,0,0.00%,0,0.00%
2.00%,30,0.0396,1048576,0.5,100,8,5000,0,0,100,1000000,1000000,0,0,0,0.00%,0,0.00%
2.50%,30,0.049375,1048576,0.5,100,8,5000,0,0,100,1000000,1000000,0,0,0,0.00%,0,0.00%
3.00%,30,0.0591,1048576,0.5,100,8,5000,0,0,100,1000000,1000000,0,0,0,0.00%,0,0.00%
3.50%,30,0.068775,1048576,0.5,100,8,5000,0,0,100,1000000,1000000,0,0,0,0.00%,0,0.00%
4.00%,30,0.0784,1048576,0.5,100,8,5000,0,0,100,1000000,1000000,0,0,0,0.00%,0,0.00%
4.50%,30,0.087975,1048576,0.5,100,8,5000,0,0,100,1000000,1000000,0,0,0,0.00%,0,0.00%
5.00%,30,0.0975,1048576,0.5,100,8,5000,0,0,100,1000000,1000000,0,0,0,0.00%,0,0.00%
5.50%,30,0.106975,1048576,0.5,100,8,5000,0,0,100,1000000,1000000,0,0,0,0.00%,0,0.00%
6.00%,30,0.1164,1048576,0.5,100,8,5000,0,0,100,1000000,1000000,0,0,0,0.00%,0,0.00%
6.50%,30,0.125775,1048576,0.5,100,8,5000,0,0,100,1000000,1000000,0,0,0,0.00%,0,0.00%
7.00%,30,0.1351,1048576,0.5,100,8,5000,0,0,100,1000000,1000000,0,0,0,0.00%,0,0.00%
7.50%,30,0.144375,1048576,0.5,100,8,5000,0,0,100,998277,998277,1723,0.001723,0,0.00%,0,0.00%
8.00%,30,0.1536,1048576,0.5,100,8,5000,0,0,100,998540,998540,1460,0.00146,0,0.00%,0,0.00%
8.50%,30,0.162775,1048576,0.5,100,8,5000,0,0,100,998854,998854,1146,0.001146,0,0.00%,0,0.00%
9.00%,30,0.1719,1048576,0.5,100,8,5000,0,0,100,983828,983828,16172,0.016172,0,0.00%,0,0.00%
9.50%,30,0.180975,1048576,0.5,100,8,5000,0,0,100,988266,988266,11734,0.011734,0,0.00%,0,0.00%
10.00%,30,0.19,1048576,0.5,100,8,5000,0,0,100,962361,962361,37639,0.037639,0,0.00%,0,0.00%
10.50%,30,0.198975,1048576,0.5,100,8,5000,0,0,100,932072,932072,67928,0.067928,0,0.00%,0,0.00%
11.00%,30,0.2079,1048576,0.5,100,8,5000,0,0,100,911215,911215,88785,0.088785,0,0.00%,0,0.00%
11.50%,30,0.216775,1048576,0.5,100,8,5000,0,0,100,867961,867961,132039,0.132039,0,0.00%,0,0.00%
12.00%,30,0.2256,1048576,0.5,100,8,5000,0,0,100,715044,715044,284956,0.284956,0,0.00%,0,0.00%
12.50%,30,0.234375,1048576,0.5,100,8,5000,0,0,100,710749,710749,289251,0.289251,0,0.00%,0,0.00%
13.00%,30,0.2431,1048576,0.5,100,8,5000,0,0,100,594729,594729,405271,0.405271,0,0.00%,0,0.00%
13.50%,30,0.251775,1048576,0.5,100,8,5000,0,0,100,514530,514530,485470,0.48547,0,0.00%,0,0.00%
14.00%,30,0.2604,1048576,0.5,100,8,5000,0,0,100,445263,445263,554737,0.554737,0,0.00%,0,0.00%
14.50%,30,0.268975,1048576,0.5,100,8,5000,0,0,100,391897,391897,608103,0.608103,0,0.00%,0,0.00%
15.00%,30,0.2775,1048576,0.5,100,8,5000,0,0,100,375872,375872,624128,0.624128,0,0.00%,0,0.00%
15.50%,30,0.285975,1048576,0.5,100,8,5000,0,0,100,363013,363013,636987,0.636987,0,0.00%,0,0.00%
16.00%,30,0.2944,1048576,0.5,100,8,5000,0,0,100,301873,301873,698127,0.698127,0,0.00%,0,0.00%
16.50%,30,0.302775,1048576,0.5,100,8,5000,0,0,100,291408,291408,708592,0.708592,0,0.00%,0,0.00%
17.00%,30,0.3111,1048576,0.5,100,8,5000,0,0,100,266450,266450,733550,0.73355,0,0.00%,0,0.00%
17.50%,30,0.319375,1048576,0.5,100,8,5000,0,0,100,214245,214245,785755,0.785755,0,0.00%,0,0.00%
18.00%,30,0.3276,1048576,0.5,100,8,5000,0,0,100,197837,197837,802163,0.802163,0,0.00%,0,0.00%
18.50%,30,0.335775,1048576,0.5,100,8,5000,0,0,100,207966,207966,792034,0.792034,0,0.00%,0,0.00%
19.00%,30,0.3439,1048576,0.5,100,8,5000,0,0,100,210950,210950,789050,0.78905,0,0.00%,0,0.00%
19.50%,30,0.351975,1048576,0.5,100,8,5000,0,0,100,215873,215873,784127,0.784127,0,0.00%,0,0.00%
20.00%,30,0.36,1048576,0.5,100,8,5000,0,0,100,186110,186110,813890,0.81389,0,0.00%,0,0.00%
20.50%,30,0.367975,1048576,0.5,100,8,5000,0,0,100,175888,175888,824112,0.824112,0,0.00%,0,0.00%
21.00%,30,0.3759,1048576,0.5,100,8,5000,0,0,100,173632,173632,826368,0.826368,0,0.00%,0,0.00%
21.50%,30,0.383775,1048576,0.5,100,8,5000,0,0,100,154817,154817,845183,0.845183,0,0.00%,0,0.00%
22.00%,30,0.3916,1048576,0.5,100,8,5000,0,0,100,163581,163581,836419,0.836419,0,0.00%,0,0.00%
22.50%,30,0.399375,1048576,0.5,100,8,5000,0,0,100,152131,152131,847869,0.847869,0,0.00%,0,0.00%
23.00%,30,0.4071,1048576,0.5,100,8,5000,0,0,100,143701,143701,856299,0.856299,0,0.00%,0,0.00%
23.50%,30,0.414775,1048576,0.5,100,8,5000,0,0,100,140384,140384,859616,0.859616,0,0.00%,0,0.00%
24.00%,30,0.4224,1048576,0.5,100,8,5000,0,0,100,139456,139456,860544,0.860544,0,0.00%,0,0.00%
24.50%,30,0.429975,1048576,0.5,100,8,5000,0,0,100,133912,133912,866088,0.866088,0,0.00%,0,0.00%
25.00%,30,0.4375,1048576,0.5,100,8,5000,0,0,100,121216,121216,878784,0.878784,0,0.00%,0,0.00%
0.50%,30,0.009975,1048576,0.5,100,9,5000,0,0,100,1000000,1000000,0,0,0,0.00%,0,0.00%
1.00%,30,0.0199,1048576,0.5,100,9,5000,0,0,100,1000000,1000000,0,0,0,0.00%,0,0.00%
1.50%,30,0.029775,1048576,0.5,100,9,5000,0,0,100,1000000,1000000,0,0,0,0.00%,0,0.00%
2.00%,30,0.0396,1048576,0.5,100,9,5000,0,0,100,1000000,1000000,0,0,0,0.00%,0,0.00%
2.50%,30,0.049375,1048576,0.5,100,9,5000,0,0,100,1000000,1000000,0,0,0,0.00%,0,0.00%
3.00%,30,0.0591,1048576,0.5,100,9,5000,0,0,100,1000000,1000000,0,0,0,0.00%,0,0.00%
3.50%,30,0.068775,1048576,0.5,100,9,5000,0,0,100,1000000,1000000,0,0,0,0.00%,0,0.00%
4.00%,30,0.0784,1048576,0.5,100,9,5000,0,0,100,1000000,1000000,0,0,0,0.00%,0,0.00%
4.50%,30,0.087975,1048576,0.5,100,9,5000,0,0,100,1000000,1000000,0,0,0,0.00%,0,0.00%
5.00%,30,0.0975,1048576,0.5,100,9,5000,0,0,100,1000000,1000000,0,0,0,0.00%,0,0.00%
5.50%,30,0.106975,1048576,0.5,100,9,5000,0,0,100,1000000,1000000,0,0,0,0.00%,0,0.00%
6.00%,30,0.1164,1048576,0.5,100,9,5000,0,0,100,1000000,1000000,0,0,0,0.00%,0,0.00%
6.50%,30,0.125775,1048576,0.5,100,9,5000,0,0,100,1000000,1000000,0,0,0,0.00%,0,0.00%
7.00%,30,0.1351,1048576,0.5,100,9,5000,0,0,100,1000000,1000000,0,0,0,0.00%,0,0.00%
7.50%,30,0.144375,1048576,0.5,100,9,5000,0,0,100,1000000,1000000,0,0,0,0.00%,0,0.00%
8.00%,30,0.1536,1048576,0.5,100,9,5000,0,0,100,998187,998187,1813,0.001813,0,0.00%,0,0.00%
8.50%,30,0.162775,1048576,0.5,100,9,5000,0,0,100,1000000,1000000,0,0,0,0.00%,0,0.00%
9.00%,30,0.1719,1048576,0.5,100,9,5000,0,0,100,991502,991502,8498,0.008498,0,0.00%,0,0.00%
9.50%,30,0.180975,1048576,0.5,100,9,5000,0,0,100,989064,989064,10936,0.010936,0,0.00%,0,0.00%
10.00%,30,0.19,1048576,0.5,100,9,5000,0,0,100,985544,985544,14456,0.014456,0,0.00%,0,0.00%
10.50%,30,0.198975,1048576,0.5,100,9,5000,0,0,100,955324,955324,44676,0.044676,0,0.00%,0,0.00%
11.00%,30,0.2079,1048576,0.5,100,9,5000,0,0,100,941358,941358,58642,0.058642,0,0.00%,0,0.00%
11.50%,30,0.216775,1048576,0.5,100,9,5000,0,0,100,842017,842017,157983,0.157983,0,0.00%,0,0.00%
12.00%,30,0.2256,1048576,0.5,100,9,5000,0,0,100,850578,850578,149422,0.149422,0,0.00%,0,0.00%
12.50%,30,0.234375,1048576,0.5,100,9,5000,0,0,100,694112,694112,305888,0.305888,0,0.00%,0,0.00%
13.00%,30,0.2431,1048576,0.5,100,9,5000,0,0,100,555244,555244,444756,0.444756,0,0.00%,0,0.00%
13.50%,30,0.251775,1048576,0.5,100,9,5000,0,0,100,521354,521354,478646,0.478646,0,0.00%,0,0.00%
14.00%,30,0.2604,1048576,0.5,100,9,5000,0,0,100,521013,521013,478987,0.478987,0,0.00%,0,0.00%
14.50%,30,0.268975,1048576,0.5,100,9,5000,0,0,100,407217,407217,592783,0.592783,0,0.00%,0,0.00%
15.00%,30,0.2775,1048576,0.5,100,9,5000,0,0,100,370183,370183,629817,0.629817,0,0.00%,0,0.00%
15.50%,30,0.285975,1048576,0.5,100,9,5000,0,0,100,377924,377924,622076,0.622076,0,0.00%,0,0.00%
16.00%,30,0.2944,1048576,0.5,100,9,5000,0,0,100,330296,330296,669704,0.669704,0,0.00%,0,0.00%
16.50%,30,0.302775,1048576,0.5,100,9,5000,0,0,100,315318,315318,684682,0.684682,0,0.00%,0,0.00%
17.00%,30,0.3111,1048576,0.5,100,9,5000,0,0,100,249192,249192,750808,0.750808,0,0.00%,0,0.00%
17.50%,30,0.319375,1048576,0.5,100,9,5000,0,0,100,254781,254781,745219,0.745219,0,0.00%,0,0.00%
18.00%,30,0.3276,1048576,0.5,100,9,5000,0,0,100,230103,230103,769897,0.769897,0,0.00%,0,0.00%
18.50%,30,0.335775,1048576,0.5,100,9,5000,0,0,100,222411,222411,777589,0.777589,0,0.00%,0,0.00%
19.00%,30,0.3439,1048576,0.5,100,9,5000,0,0,100,213791,213791,786209,0.786209,0,0.00%,0,0.00%
19.50%,30,0.351975,1048576,0.5,100,9,5000,0,0,100,198708,198708,801292,0.801292,0,0.00%,0,0.00%
20.00%,30,0.36,1048576,0.5,100,9,5000,0,0,100,172333,172333,827667,0.827667,0,0.00%,0,0.00%
20.50%,30,0.367975,1048576,0.5,100,9,5000,0,0,100,189090,189090,810910,0.81091,0,0.00%,0,0.00%
21.00%,30,0.3759,1048576,0.5,100,9,5000,0,0,100,180222,180222,819778,0.819778,0,0.00%,0,0.00%
21.50%,30,0.383775,1048576,0.5,100,9,5000,0,0,100,175827,175827,824173,0.824173,0,0.00%,0,0.00%
22.00%,30,0.3916,1048576,0.5,100,9,5000,0,0,100,159435,159435,840565,0.840565,0,0.00%,0,0.00%
22.50%,30,0.399375,1048576,0.5,100,9,5000,0,0,100,154093,154093,845907,0.845907,0,0.00%,0,0.00%
23.00%,30,0.4071,1048576,0.5,100,9,5000,0,0,100,150607,150607,849393,0.849393,0,0.00%,0,0.00%
23.50%,30,0.414775,1048576,0.5,100,9,5000,0,0,100,154914,154914,845086,0.845086,0,0.00%,0,0.00%
24.00%,30,0.4224,1048576,0.5,100,9,5000,0,0,100,128039,128039,871961,0.871961,0,0.00%,0,0.00%
24.50%,30,0.429975,1048576,0.5,100,9,5000,0,0,100,145043,145043,854957,0.854957,0,0.00%,0,0.00%
25.00%,30,0.4375,1048576,0.5,100,9,5000,0,0,100,115612,115612,884388,0.884388,0,0.00%,0,0.00%
0.50%,30,0.009975,1048576,0.5,100,10,5000,0,0,100,1000000,1000000,0,0,0,0.00%,0,0.00%
1.00%,30,0.0199,1048576,0.5,100,10,5000,0,0,100,1000000,1000000,0,0,0,0.00%,0,0.00%
1.50%,30,0.029775,1048576,0.5,100,10,5000,0,0,100,1000000,1000000,0,0,0,0.00%,0,0.00%
2.00%,30,0.0396,1048576,0.5,100,10,5000,0,0,100,1000000,1000000,0,0,0,0.00%,0,0.00%
2.50%,30,0.049375,1048576,0.5,100,10,5000,0,0,100,1000000,1000000,0,0,0,0.00%,0,0.00%
3.00%,30,0.0591,1048576,0.5,100,10,5000,0,0,100,1000000,1000000,0,0,0,0.00%,0,0.00%
3.50%,30,0.068775,1048576,0.5,100,10,5000,0,0,100,1000000,1000000,0,0,0,0.00%,0,0.00%
4.00%,30,0.0784,1048576,0.5,100,10,5000,0,0,100,1000000,1000000,0,0,0,0.00%,0,0.00%
4.50%,30,0.087975,1048576,0.5,100,10,5000,0,0,100,1000000,1000000,0,0,0,0.00%,0,0.00%
5.00%,30,0.0975,1048576,0.5,100,10,5000,0,0,100,1000000,1000000,0,0,0,0.00%,0,0.00%
5.50%,30,0.106975,1048576,0.5,100,10,5000,0,0,100,1000000,1000000,0,0,0,0.00%,0,0.00%
6.00%,30,0.1164,1048576,0.5,100,10,5000,0,0,100,1000000,1000000,0,0,0,0.00%,0,0.00%
6.50%,30,0.125775,1048576,0.5,100,10,5000,0,0,100,1000000,1000000,0,0,0,0.00%,0,0.00%
7.00%,30,0.1351,1048576,0.5,100,10,5000,0,0,100,1000000,1000000,0,0,0,0.00%,0,0.00%
7.50%,30,0.144375,1048576,0.5,100,10,5000,0,0,100,1000000,1000000,0,0,0,0.00%,0,0.00%
8.00%,30,0.1536,1048576,0.5,100,10,5000,0,0,100,999404,999404,596,0.000596,0,0.00%,0,0.00%
8.50%,30,0.162775,1048576,0.5,100,10,5000,0,0,100,997674,997674,2326,0.002326,0,0.00%,0,0.00%
9.00%,30,0.1719,1048576,0.5,100,10,5000,0,0,100,997697,997697,2303,0.002303,0,0.00%,0,0.00%
9.50%,30,0.180975,1048576,0.5,100,10,5000,0,0,100,992523,992523,7477,0.007477,0,0.00%,0,0.00%
10.00%,30,0.19,1048576,0.5,100,10,5000,0,0,100,974528,974528,25472,0.025472,0,0.00%,0,0.00%
10.50%,30,0.198975,1048576,0.5,100,10,5000,0,0,100,960999,960999,39001,0.039001,0,0.00%,0,0.00%
11.00%,30,0.2079,1048576,0.5,100,10,5000,0,0,100,924081,924081,75919,0.075919,0,0.00%,0,0.00%
11.50%,30,0.216775,1048576,0.5,100,10,5000,0,0,100,911974,911974,88026,0.088026,0,0.00%,0,0.00%
12.00%,30,0.2256,1048576,0.5,100,10,5000,0,0,100,808069,808069,191931,0.191931,0,0.00%,0,0.00%
12.50%,30,0.234375,1048576,0.5,100,10,5000,0,0,100,784872,784872,215128,0.215128,0,0.00%,0,0.00%
13.00%,30,0.2431,1048576,0.5,100,10,5000,0,0,100,645566,645566,354434,0.354434,0,0.00%,0,0.00%
13.50%,30,0.251775,1048576,0.5,100,10,5000,0,0,100,498852,498852,501148,0.501148,0,0.00%,0,0.00%
14.00%,30,0.2604,1048576,0.5,100,10,5000,0,0,100,474989,474989,525011,0.525011,0,0.00%,0,0.00%
14.50%,30,0.268975,1048576,0.5,100,10,5000,0,0,100,422772,422772,577228,0.577228,0,0.00%,0,0.00%
15.00%,30,0.2775,1048576,0.5,100,10,5000,0,0,100,369371,369371,630629,0.630629,0,0.00%,0,0.00%
15.50%,30,0.285975,1048576,0.5,100,10,5000,0,0,100,349104,349104,650896,0.650896,0,0.00%,0,0.00%
16.00%,30,0.2944,1048576,0.5,100,10,5000,0,0,100,285606,285606,714394,0.714394,0,0.00%,0,0.00%
16.50%,30,0.302775,1048576,0.5,100,10,5000,0,0,100,284100,284100,715900,0.7159,0,0.00%,0,0.00%
17.00%,30,0.3111,1048576,0.5,100,10,5000,0,0,100,282451,282451,717549,0.717549,0,0.00%,0,0.00%
17.50%,30,0.319375,1048576,0.5,100,10,5000,0,0,100,255573,255573,744427,0.744427,0,0.00%,0,0.00%
18.00%,30,0.3276,1048576,0.5,100,10,5000,0,0,100,209298,209298,790702,0.790702,0,0.00%,0,0.00%
18.50%,30,0.335775,1048576,0.5,100,10,5000,0,0,100,201231,201231,798769,0.798769,0,0.00%,0,0.00%
19.00%,30,0.3439,1048576,0.5,100,10,5000,0,0,100,216756,216756,783244,0.783244,0,0.00%,0,0.00%
19.50%,30,0.351975,1048576,0.5,100,10,5000,0,0,100,208928,208928,791072,0.791072,0,0.00%,0,0.00%
20.00%,30,0.36,1048576,0.5,100,10,5000,0,0,100,194014,194014,805986,0.805986,0,0.00%,0,0.00%
20.50%,30,0.367975,1048576,0.5,100,10,5000,0,0,100,156989,156989,843011,0.843011,0,0.00%,0,0.00%
21.00%,30,0.3759,1048576,0.5,100,10,5000,0,0,100,146425,146425,853575,0.853575,0,0.00%,0,0.00%
21.50%,30,0.383775,1048576,0.5,100,10,5000,0,0,100,159315,159315,840685,0.840685,0,0.00%,0,0.00%
22.00%,30,0.3916,1048576,0.5,100,10,5000,0,0,100,143150,143150,856850,0.85685,0,0.00%,0,0.00%
22.50%,30,0.399375,1048576,0.5,100,10,5000,0,0,100,159549,159549,840451,0.840451,0,0.00%,0,0.00%
23.00%,30,0.4071,1048576,0.5,100,10,5000,0,0,100,132388,132388,867612,0.867612,0,0.00%,0,0.00%
23.50%,30,0.414775,1048576,0.5,100,10,5000,0,0,100,141680,141680,858320,0.85832,0,0.00%,0,0.00%
24.00%,30,0.4224,1048576,0.5,100,10,5000,0,0,100,135530,135530,864470,0.86447,0,0.00%,0,0.00%
24.50%,30,0.429975,1048576,0.5,100,10,5000,0,0,100,121830,121830,878170,0.87817,0,0.00%,0,0.00%
25.00%,30,0.4375,1048576,0.5,100,10,5000,0,0,100,143502,143502,856498,0.856498,0,0.00%,0,0.00%
